zone_id,gid,tract,area,acres,sum_residential_units,sum_job_spaces,population,jobs,ave_lot_sqft,ave_income,hhsize,ave_unit_sqft,sfdu,poor,renters,zone_id
1091,353,318000.0,12166516.0,279.305,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1091
1336,1300,150605.0,14691341.0,337.267,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1336
1438,519,121200.0,6999726.5,160.692,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1438
1399,1369,153902.0,3339934.5,76.674,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1399
1398,1370,153903.0,3227514.5,74.094,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1398
100,626,20900.0,324950.62,7.46,7.653020413804189,7.8632667240095735,8.282230063296685,6.703188113240863,7.104973494667986,10.633472802314019,1.0986122886681098,6.983789965258135,1.9459101490553132,7.357556200910353,6.633318433280377,100
401,1019,504601.0,19464064.0,446.833,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,401
653,956,503319.0,18853400.0,432.815,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,653
1396,1366,153802.0,62331936.0,1430.944,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1396
820,197,435101.0,58774604.0,1349.279,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,820
810,220,437100.0,49097476.0,1127.123,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,810
730,288,450100.0,11463511.0,263.166,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,730
729,302,450721.0,29327274.0,673.262,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,729
404,1412,,40213376.0,923.172,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,404
745,305,450742.0,8008750.5,183.856,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,745
720,309,451202.0,46185204.0,1060.266,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,720
1177,326,304000.0,176128370.0,4043.351,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1177
1189,327,305000.0,9432770.0,216.547,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1189
1247,1247,252202.0,54008092.0,1239.855,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1247
1251,1263,252702.0,235334620.0,5402.54,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1251
1248,1246,252201.0,93845630.0,2154.399,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1248
119,644,22902.0,161618.69,3.71,6.697034247666484,5.926926025970411,7.733245646529795,5.1647859739235145,7.17322695588703,11.091346218718432,1.3862943611198906,7.088408778675395,0.0,6.269096283706261,6.590301048196686,119
1279,1272,252904.0,56045732.0,1286.633,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1279
1439,520,122000.0,105536.42,2.423,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1439
1447,521,123000.0,1385483.0,31.806,,,0.0,,7.723412632340999,11.060384472475045,1.0986122886681098,7.103938648713564,0.0,0.0,0.0,1447
